ticks,infected
0,2
1,2
2,2
3,3
4,3
5,5
6,3
7,2
8,3
9,5
10,5
11,6
12,8
13,8
14,7
15,8
16,5
17,6
18,9
19,10
20,10
21,9
22,9
23,7
24,5
25,7
26,5
27,3
28,3
29,7
30,8
31,8
32,7
33,8
34,11
35,13
36,14
37,16
38,16
39,15
40,19
41,14
42,16
43,19
44,17
45,20
46,17
47,19
48,19
49,19
50,19
51,18
52,18
53,19
54,18
55,19
56,17
57,19
58,21
59,21
60,18
61,16
62,11
63,13
64,15
65,15
66,19
67,20
68,20
69,22
70,22
71,19
72,18
73,14
74,11
75,7
76,5
77,6
78,7
79,4
80,3
81,2
82,1
83,0
